exp	c_54	0179_0001	400.0	786.6243628213463	6.988280293168761
exp	c_54	0099_0001	550.0	796.4469115784988	9.686804575396831
exp	c_54	0126_0001	650.0	804.1670466471876	6.908832070165413
exp	c_54	0166_0001	800.0	818.2051979137105	8.200609099973644
exp	c_1086	0181_0001	400.0	787.0291892543572	4.977114418112658
exp	c_1086	0101_0001	550.0	795.3014777348053	6.216088391870721
exp	c_1086	0127_0001	650.0	803.3658658791525	4.893400103376682
exp	c_1086	0168_0001	800.0	811.5542831464088	5.797470799241841
exp	c_2198	0183_0001	400.0	780.7050067910333	3.3890604542334173
exp	c_2198	0103_0001	550.0	801.8051989702652	4.017317766849707
exp	c_2198	0130_0001	650.0	809.0909156821854	3.226638238467434
exp	c_2198	0170_0001	800.0	812.7811589465681	3.617029705408766
