exp	c_1086	0181_0001	400	1.22424e+06	409	2123	182	26	141	344
exp	c_1086	0101_0001	550	973221	61	482	65	17	54	154
exp	c_1086	0127_0001	650	1.06281e+06	157	970	137	135	45	155
exp	c_1086	0168_0001	800	653396	73	202	77	43	9	63
exp	c_2198	0183_0001	400	1.32994e+06	489	3947	171	59	144	668
exp	c_2198	0103_0001	550	952467	68	724	59	41	39	319
exp	c_2198	0130_0001	650	1.10096e+06	227	1623	256	219	57	294
exp	c_2198	0170_0001	800	900439	151	430	120	110	17	141
exp	c_54	0179_0001	400	1.14942e+06	407	1270	155	37	139	168
exp	c_54	0099_0001	550	1.03655e+06	65	398	58	15	39	99
exp	c_54	0126_0001	650	1.10202e+06	137	670	88	77	51	100
exp	c_54	0166_0001	800	756845	137	175	47	27	23	40
exp	empty	0187_0001	400	1.14967e+06	398	530	170	5	143	43
exp	empty	0096_0001	550	988250	75	243	28	4	36	38
exp	empty	0124_0001	650	1.0968e+06	97	391	48	21	49	56
exp	empty	0173_0001	800	747976	63	87	36	12	19	22
