exp	c_54	0179_0001	400.0	787.5130790342098	5.732445466661902
exp	c_54	0099_0001	550.0	792.7279880661289	8.427075156670954
exp	c_54	0126_0001	650.0	804.0548770455167	5.466358971394788
exp	c_54	0166_0001	800.0	825.7434927486232	6.549771763255396
exp	c_1086	0181_0001	400.0	787.9509488724914	4.094699026444422
exp	c_1086	0101_0001	550.0	791.4890597477134	5.177039236574958
exp	c_1086	0127_0001	650.0	803.1883009903795	3.9262573362762914
exp	c_1086	0168_0001	800.0	818.5497061375975	4.7143255338951935
exp	c_2198	0183_0001	400.0	781.1105636439793	2.4181550977133384
exp	c_2198	0103_0001	550.0	798.5236383556838	2.7851031255512524
exp	c_2198	0130_0001	650.0	809.3806501726292	2.2006523895482606
exp	c_2198	0170_0001	800.0	819.8767240010602	2.4281942061385524
