exp	c_54	0179_0001	400.0	786.6243628213463	6.988280293168761	5.989626851252395	3.6000599493129517
exp	c_54	0099_0001	550.0	796.4469115784988	9.686804575396831	6.664573958810163	7.029767907226982
exp	c_54	0126_0001	650.0	804.1670466471876	6.908832070165413	6.087727184038338	3.266732053056503
exp	c_54	0166_0001	800.0	818.2051979137105	8.200609099973644	7.403534266007424	3.5267080943316587
exp	c_1086	0181_0001	400.0	787.0291892543572	4.977114418112658	3.999223507691741	2.9627485999508414
exp	c_1086	0101_0001	550.0	795.3014777348053	6.216088391870721	4.663830722175385	4.109554463739707
exp	c_1086	0127_0001	650.0	803.3658658791525	4.893400103376682	4.166616051380806	2.5660622073719765
exp	c_1086	0168_0001	800.0	811.5542831464088	5.797470799241841	5.152837576321644	2.656865179136783
exp	c_2198	0183_0001	400.0	780.7050067910333	3.3890604542334173	2.9960675462923163	1.5840801812101415
exp	c_2198	0103_0001	550.0	801.8051989702652	4.017317766849707	3.616819494687349	1.7485590589670867
exp	c_2198	0130_0001	650.0	809.0909156821854	3.226638238467434	3.096821123920206	0.906031593478848
exp	c_2198	0170_0001	800.0	812.7811589465681	3.617029705408766	3.5003656785026185	0.9112321364890124
