exp	c_1086	0181_0001	400	0.995605	0.994029	0.967908	0.962213	0.940207	0.86455	0.71093	0.581359	0.32891
exp	c_1086	0101_0001	550	0.96233	0.917216	0.990764	0.884794	0.938582	0.845328	0.682465	0.548115	0.315249
exp	c_1086	0127_0001	650	0.997256	0.994642	0.990176	0.985323	0.951254	0.885139	0.700896	0.592598	0.422392
exp	c_1086	0168_0001	800	0.997033	0.99065	0.833546	0.825846	0.954619	0.888783	0.643994	0.548827	0.152614
exp	c_2198	0183_0001	400	0.995532	0.994004	0.96842	0.962793	0.939072	0.861699	0.725068	0.590364	0.3414
exp	c_2198	0103_0001	550	0.959773	0.925951	0.990511	0.891506	0.935697	0.852582	0.689855	0.558231	0.340566
exp	c_2198	0130_0001	650	0.996241	0.993954	0.989755	0.98416	0.949902	0.883443	0.707397	0.596719	0.435806
exp	c_2198	0170_0001	800	0.99569	0.989901	0.824119	0.815618	0.952907	0.887089	0.637587	0.541688	0.153495
exp	c_54	0179_0001	400	0.995724	0.993962	0.96725	0.961566	0.941489	0.865798	0.701259	0.574998	0.321071
exp	c_54	0099_0001	550	0.964838	0.913828	0.990878	0.883807	0.941754	0.842552	0.681042	0.547285	0.302674
exp	c_54	0126_0001	650	0.997727	0.995017	0.99034	0.985927	0.952269	0.885767	0.701134	0.593374	0.418331
exp	c_54	0166_0001	800	0.996889	0.989917	0.832985	0.824338	0.954298	0.887207	0.622985	0.529955	0.140761
exp	empty	0187_0001	400	0.995991	0.994208	0.966772	0.96129	0.943375	0.868501	0.701225	0.577784	0.317406
exp	empty	0106_0001	550	0.969422	0.913006	0.991013	0.886388	0.94615	0.841975	0.679037	0.547169	0.291741
exp	empty	0124_0001	650	0.998295	0.995491	0.990645	0.986702	0.95324	0.88694	0.703377	0.596707	0.414636
exp	empty	0173_0001	800	0.998101	0.991523	0.832746	0.826029	0.956564	0.890065	0.640724	0.547561	0.142182
