exp	c_1086	0181_0001	400	0.995605	0.994029	0.967908	0.962213	0.864998	0.685608	0.693263	0.581359	0.43836	0.438388
exp	c_1086	0101_0001	550	0.96233	0.917216	0.990764	0.884794	0.89664	0.739177	0.657536	0.548115	0.451935	0.449862
exp	c_1086	0127_0001	650	0.997256	0.994642	0.990176	0.985323	0.885996	0.747816	0.67731	0.592598	0.474237	0.474462
exp	c_1086	0168_0001	800	0.997033	0.99065	0.833546	0.825846	0.893273	0.726912	0.632518	0.548827	0.432335	0.433111
exp	c_2198	0183_0001	400	0.995532	0.994004	0.96842	0.962793	0.862443	0.679673	0.705736	0.590364	0.441426	0.441362
exp	c_2198	0103_0001	550	0.959773	0.925951	0.990511	0.891506	0.89341	0.744225	0.664066	0.558231	0.459184	0.459599
exp	c_2198	0130_0001	650	0.996241	0.993954	0.989755	0.98416	0.883656	0.74519	0.682873	0.596719	0.475839	0.47413
exp	c_2198	0170_0001	800	0.99569	0.989901	0.824119	0.815618	0.891392	0.724062	0.625625	0.541688	0.425544	0.426064
exp	c_54	0179_0001	400	0.995724	0.993962	0.96725	0.961566	0.866534	0.688163	0.684631	0.574998	0.435162	0.435347
exp	c_54	0099_0001	550	0.964838	0.913828	0.990878	0.883807	0.900238	0.738286	0.656233	0.547285	0.452441	0.45291
exp	c_54	0126_0001	650	0.997727	0.995017	0.99034	0.985927	0.887333	0.748778	0.677676	0.593374	0.475187	0.475558
exp	c_54	0166_0001	800	0.996889	0.989917	0.832985	0.824338	0.893487	0.720311	0.611664	0.529955	0.414712	0.416005
exp	empty	0187_0001	400	0.995991	0.994208	0.966772	0.96129	0.869845	0.693226	0.685418	0.577784	0.439522	0.439674
exp	empty	0106_0001	550	0.969422	0.913006	0.991013	0.886388	0.904417	0.738667	0.654642	0.547169	0.452798	0.452606
exp	empty	0124_0001	650	0.998295	0.995491	0.990645	0.986702	0.888566	0.751704	0.679607	0.596707	0.478779	0.478271
exp	empty	0173_0001	800	0.998101	0.991523	0.832746	0.826029	0.895801	0.728764	0.629616	0.547561	0.432167	0.432744
