exp	c_54	0179_0001	400	781.5948150624282	7.641027521076706
exp	c_1086	0181_0001	400	783.2085382070347	5.031632259694364
exp	c_2198	0183_0001	400	781.0693182285231	2.87762570858102
exp	c_54	0099_0001	550	806.9925907351244	8.705923762876047
exp	c_1086	0101_0001	550	807.0734954307665	5.845354394245687
exp	c_2198	0103_0001	550	794.117719501814	3.555228440943188
exp	c_54	0126_0001	650	809.7769482880818	8.17697038958009
exp	c_1086	0127_0001	650	815.8574832209891	5.599203221028289
exp	c_2198	0130_0001	650	815.8126365539201	3.2729139140631807
exp	c_54	0166_0001	800	812.0183373895063	8.769558448972981
exp	c_1086	0168_0001	800	802.112391148398	6.458132126415564
exp	c_2198	0170_0001	800	812.3488964302626	3.4552711750291354
