exp	c_1086	0181_0001	400	606578	215543	246359	280961	311716	342641	369781	395463	418653	439820	458816	474759	489051	500773	511325	519811	526948	532626	537382	541184	544241	546654	548596	550107	551221	552116	552763	553265	553664	553968	554211	554356	554536	554632	554710	554760	554805	554852	554881	554916	554937
exp	c_1086	0101_0001	550	451137	158206	182662	206689	230291	251820	272500	291414	309417	325278	339334	351570	361967	371354	378981	385453	390953	395365	398916	401741	404016	405837	407236	408347	409213	409888	410376	410744	411052	411291	411446	411566	411660	411741	411790	411833	411865	411899	411945	411986	412031
exp	c_1086	0127_0001	650	500688	175320	202529	228986	254786	279633	302955	324078	343480	360880	376039	389767	401814	411668	420148	427516	433305	438239	442159	445344	447979	450016	451536	452797	453821	454558	455159	455595	455960	456239	456452	456610	456746	456861	456972	457074	457176	457248	457359	457457	457585
exp	c_1086	0168_0001	800	345654	120978	139173	157541	174858	192195	207745	223075	236408	248453	259278	268736	276836	283987	289888	294874	299077	302454	305291	307489	309318	310686	311826	312683	313293	313760	314119	314411	314645	314788	314917	314999	315086	315151	315208	315275	315319	315360	315409	315463	315512
exp	c_2198	0183_0001	400	655762	216326	249587	281956	312984	342917	369789	396967	419704	440909	459323	475437	489649	501638	512124	520642	528042	533603	538398	542295	545308	547635	549648	551102	552335	553209	553935	554459	554870	555204	555417	555595	555747	555850	555936	555990	556050	556101	556134	556168	556204
exp	c_2198	0103_0001	550	436457	142017	164287	185664	206350	226479	244908	261964	278003	292223	304475	315516	325098	333228	340059	345755	350675	354576	357796	360362	362334	363973	365281	366229	367004	367592	368004	368361	368630	368839	368986	369105	369188	369272	369330	369379	369414	369458	369501	369542	369598
exp	c_2198	0130_0001	650	530869	172383	197975	223808	249947	274030	296928	317843	336277	353899	369281	382205	393964	403659	411989	419169	425004	429807	433578	436654	439195	441166	442648	443850	444801	445539	446115	446531	446861	447133	447333	447495	447657	447784	447915	448037	448194	448329	448490	448634	448811
exp	c_2198	0170_0001	800	479679	154673	178801	202162	225261	246905	267414	286300	303622	319119	332574	345025	355229	364226	371892	378330	383511	387903	391374	394223	396504	398304	399693	400710	401539	402195	402696	403058	403333	403549	403726	403876	403996	404100	404179	404252	404325	404423	404535	404657	404765
exp	c_54	0179_0001	400	569503	209494	239908	273163	302684	333432	360086	385470	407348	428295	446312	462687	476101	487887	497873	506189	513310	518895	523704	527173	530199	532419	534350	535764	536812	537614	538245	538738	539098	539372	539556	539699	539796	539903	539959	540015	540057	540098	540115	540132	540145
exp	c_54	0099_0001	550	476323	173858	199998	226968	252432	277105	299939	320467	339407	356625	371943	385035	396784	406538	415213	422286	428201	432828	436803	439964	442565	444544	446051	447203	448141	448873	449422	449795	450134	450357	450546	450663	450755	450846	450906	450950	450990	451025	451054	451079	451113
exp	c_54	0126_0001	650	538037	195776	225919	256058	284522	312138	338041	361837	383511	402831	419916	434625	447997	459262	468705	476750	483292	488527	493002	496723	499548	501801	503593	504952	506048	506928	507557	508002	508317	508571	508782	508968	509112	509216	509315	509413	509499	509575	509653	509734	509834
exp	c_54	0166_0001	800	481459	174066	201231	227535	253458	278038	301434	322915	342267	359759	375419	389003	400697	410870	419417	426556	432480	437605	441535	444753	447222	449176	450680	451920	452861	453551	454099	454536	454832	455067	455254	455390	455493	455551	455615	455679	455727	455790	455851	455907	455959
exp	empty	0187_0001	400	574279	219049	252127	286569	317637	348452	376812	403017	427080	448330	467292	484015	498225	510745	520900	529736	536867	542920	547887	551723	554756	557199	559049	560643	561780	562693	563382	563923	564337	564646	564874	565040	565158	565255	565313	565363	565403	565425	565451	565473	565490
exp	empty	0096_0001	550	453729	171812	197531	223951	249246	273679	296024	316824	335628	353081	367843	381198	392503	402494	410814	417901	423591	428303	432133	435328	437739	439699	441283	442456	443342	444047	444618	445040	445309	445534	445734	445867	445959	446029	446079	446116	446153	446179	446206	446223	446243
exp	empty	0124_0001	650	522451	198436	228123	258209	287670	314284	340668	365048	386974	406604	424318	439010	452003	463508	473006	481203	487756	493311	497681	501303	504169	506309	508075	509448	510453	511241	511923	512389	512762	513035	513234	513367	513467	513574	513647	513701	513754	513807	513854	513903	513945
exp	empty	0173_0001	800	395451	148534	171729	194074	216562	237829	257150	275125	291806	306734	320008	331485	341390	350083	357550	363713	368963	373119	376603	379308	381496	383220	384578	385598	386381	387050	387513	387810	388080	388299	388456	388569	388651	388722	388777	388816	388841	388864	388898	388928	388945
