exp	c_1086	0181_0001	400	365543	2521.53	100.447	368969
exp	c_1086	0101_0001	550	273490	2573.42	184.28	277062
exp	c_1086	0127_0001	650	405023	3366.15	233.055	409422
exp	c_1086	0168_0001	800	90286.6	620.83	25.6871	91733
exp	c_2198	0183_0001	400	381053	4221.42	265.287	386344
exp	c_2198	0103_0001	550	267610	4051.54	355.806	272825
exp	c_2198	0130_0001	650	396666	5439.72	409.302	403329
exp	c_2198	0170_0001	800	114995	1450.39	105.628	117352
exp	c_54	0179_0001	400	348246	1542.98	69.4454	350659
exp	c_54	0099_0001	550	293540	1765.1	77.3729	296186
exp	c_54	0126_0001	650	433126	1827.85	53.3139	435812
exp	c_54	0166_0001	800	100518	379.449	10.3521	101691
exp	empty	0187_0001	400	358338	498.838	18.9281	359659
exp	empty	0106_0001	550	289062	673.322	82.0266	290634
exp	empty	0124_0001	650	443577	667.32	16.6538	445068
exp	empty	0173_0001	800	104046	130.839	2.85287	104970
